period,Barton Pond,CityHall,Jackson,N Campus Pump Station,S Industrial
2015/2/22,,0,0,0,0
2015/2/23,,0,0,0,0
2015/2/24,,0,0,0,0
2015/2/25,,0,0,0,0
2015/2/26,,0,0,0,0
2015/2/27,,0,0,0,0
2015/2/28,,0,0,0,0
2015/3/1,,0,0,0,0
2015/3/2,,0,0,0,0
2015/3/3,,0.17,0.23,0.25,0.18
2015/3/4,,0,0,0,0
2015/3/5,,0,0,0,0
2015/3/6,,0,0,0,0
2015/3/7,,0,0,0,0
2015/3/8,,0,0,0,0
2015/3/9,,0,0,0,0
2015/3/10,,0,0.04,0.06,0.04
2015/3/11,,0,0,0,0
2015/3/12,,0,0,0,0
2015/3/13,,0,0,0,0
2015/3/14,,0,0,0,0
2015/3/15,,0,0,0,0
2015/3/16,,0,0,0,0
2015/3/17,,0,0,0,0
2015/3/18,,0,0,0,0
2015/3/19,,0,0,0,0
2015/3/20,,0,0,0,0
2015/3/21,,0,0,0,0
2015/3/22,,0,0,0,0
2015/3/23,,0,0,0,0
2015/3/24,,0,0,0,0
2015/3/25,,0.19,0.22,0.15,0.2
2015/3/26,,0,0,0,0
2015/3/27,,0,0,0,0
2015/3/28,,0,0,0,0
2015/3/29,,0,0,0,0
2015/3/30,,0.01,0.02,0,0.01
2015/3/31,,0.18,0.23,0.29,0.2
2015/4/1,,0,0,0,0
2015/4/2,,0.17,0.2,0.18,0.2
2015/4/3,,0.01,0.02,0.01,0.04
2015/4/4,,0,0,0,0
2015/4/5,,0,0,0,0
2015/4/6,,0,0,0,0
2015/4/7,,0.02,0.05,0.04,0.03
2015/4/8,,0.02,0.02,0.02,0.02
2015/4/9,,0.73,0.63,0.75,0.88
2015/4/10,,0.11,0.11,0.13,0.13
2015/4/11,,0,0,0,0
2015/4/12,,0,0,0,0
2015/4/13,,0.01,0.02,0.01,0.01
2015/4/14,,0,0,0,0
2015/4/15,,0,0,0,0
2015/4/16,,0,0,0.01,0.01
2015/4/17,,0,0,0.01,0
2015/4/18,,0,0,0,0
2015/4/19,,0.32,0.34,0.45,0.32
2015/4/20,,0.21,0.39,0.26,0.23
2015/4/21,,0.02,0.03,0.04,0.03
2015/4/22,,0,0.01,0,0
2015/4/23,,0,0,0,0
2015/4/24,,0,0,0,0
2015/4/25,,0.03,0.05,0.05,0.05
2015/4/26,,0,0,0.01,0
2015/4/27,,0,0,0,0
2015/4/28,,0,0,0,0
2015/4/29,,0.14,0.1,0.17,0.13
2015/4/30,,0.22,0.22,0.25,0.27
2015/5/1,,0,0,0,0
2015/5/2,,0,0,0,0
2015/5/3,,0,0,0,0
2015/5/4,,0.01,0.02,0.03,0.08
2015/5/5,,1,0.89,0.9,0.96
2015/5/6,,0.29,0.3,0.27,0.36
2015/5/7,,0,0,0,0
2015/5/8,,0.07,0.33,0.04,0.1
2015/5/9,,0.02,0.02,0.03,0.03
2015/5/10,,0.48,0.42,0.45,0.71
2015/5/11,,0.18,0.23,0.22,0.13
2015/5/12,,0,0,0,0
2015/5/13,,0,0,0,0
2015/5/14,,0,0,0,0
2015/5/15,,0.07,0.11,0.12,0.08
2015/5/16,,0.04,0.04,0.04,0.08
2015/5/17,,0.16,0.16,0.11,0.03
2015/5/18,,0,0.01,0,0
2015/5/19,,0,0,0,0
2015/5/20,,0,0.02,0.01,0.01
2015/5/21,,0.01,0.01,0.01,0
2015/5/22,,0,0.05,0.07,0.05
2015/5/23,,0,0,0,0
2015/5/24,,0,0,0,0
2015/5/25,,0.06,0.06,0.07,0.06
2015/5/26,,0.25,0.25,0.27,0.23
2015/5/27,,0,0.01,0,0.01
